article_key,editorial_status,local_verified_commit,work_record
developers/troubleshoot-custom-integration.md,pending,,
getting-started/first-wins-starter-pack.md,pending,,
getting-started/frequent-questions.md,pending,,
getting-started/go-live-checklist.md,pending,,
getting-started/how-hellotext-works.md,pending,,
getting-started/implementation-paths.md,pending,,
getting-started/launch-checklist.md,pending,,
getting-started/measure-success-first-7-days.md,pending,,
getting-started/setting-up-your-business.md,pending,,
getting-started/tips-and-best-practices.md,pending,,
getting-started/what-is-hellotext.md,pending,,
integrations/connect-catalog-to-whatsapp.md,pending,,
integrations/connect-facebook-messenger.md,pending,,
integrations/connect-fenicio.md,pending,,
integrations/connect-instagram-dm.md,pending,,
integrations/connect-mercado-libre.md,pending,,
integrations/connect-shopify.md,pending,,
integrations/connect-vtex.md,pending,,
integrations/connect-whatsapp.md,pending,,
integrations/connect-wix.md,pending,,
integrations/connect-woo.md,pending,,
integrations/custom-domain-for-short-links.md,pending,,
integrations/product-catalog-sync.md,pending,,
integrations/set-up-email-sending.md,pending,,
integrations/setup-overview.md,pending,,
integrations/setup-push-notifications.md,pending,,
integrations/transferring-ownership.md,pending,,
integrations/verify-data-and-signals.md,pending,,
journeys/abandoned-cart-route-vs-ai-playbook.md,pending,,
journeys/ai-cart-saver-playbook.md,pending,,
journeys/anniversary-surprise-playbook.md,pending,,
journeys/back-in-stock-pounce.md,pending,,
journeys/birthday-bash-playbook.md,pending,,
journeys/browse-recovery-playbook.md,pending,,
journeys/cart-saver-route.md,pending,,
journeys/choose-your-first-playbook.md,pending,,
journeys/complete-the-look-playbook.md,pending,,
journeys/cross-sell-driver-playbook.md,pending,,
journeys/csat-pulse-playbook.md,pending,,
journeys/custom-agent-playbook.md,pending,,
journeys/custom-journey.md,pending,,
journeys/dormant-revival-playbook.md,pending,,
journeys/first-purchase-driver-playbook.md,pending,,
journeys/getting-started-with-journeys.md,pending,,
journeys/how-hellotext-decides-whether-a-playbook-can-send.md,pending,,
journeys/how-to-customize-a-playbook-safely.md,pending,,
journeys/how-to-enable-a-playbook.md,pending,,
journeys/how-to-write-a-great-prompt.md,pending,,
journeys/instant-answers-playbook.md,pending,,
journeys/nps-pulse-playbook.md,pending,,
journeys/order-cancellation-assistant-playbook.md,pending,,
journeys/order-update-playbook.md,pending,,
journeys/playbook-library-by-mission.md,pending,,
journeys/playbooks-overview.md,pending,,
journeys/price-drop-pouncer.md,pending,,
journeys/replenishment-driver-playbook.md,pending,,
journeys/return-and-exchange-helper-playbook.md,pending,,
journeys/review-builder-playbook.md,pending,,
journeys/smart-recommender-playbook.md,pending,,
journeys/soft-reactivation-playbook.md,pending,,
journeys/sunset-saver-playbook.md,pending,,
journeys/troubleshoot-a-playbook-that-did-not-trigger-or-send.md,pending,,
journeys/what-are-signals.md,pending,,
numbers/email-channel-fundamentals.md,pending,,
numbers/exclusive-short-codes.md,pending,,
numbers/facebook-messenger-fundamentals.md,pending,,
numbers/instagram-dm-fundamentals.md,pending,,
numbers/message-editor-basics.md,pending,,
numbers/message-editor-overview.md,pending,,
numbers/messaging-overview.md,pending,,
numbers/share-a-location.md,pending,,
numbers/sms-channel-fundamentals.md,pending,,
numbers/whatsapp-channel-fundamentals.md,pending,,
team/ai-handoff-to-inbox.md,pending,,
team/assigning-conversations.md,pending,,
team/conversation-lifecycle.md,pending,,
team/filter-and-search-inbox.md,pending,,
team/inbox-browser-notifications.md,pending,,
team/inbox-overview.md,pending,,
team/teams-and-inbox-capacity.md,pending,,
team/understanding-response-times.md,pending,,
team/understanding-team-roles.md,pending,,
troubleshooting-deliverability/contact-hellotext-support.md,pending,,
troubleshooting-deliverability/sms-sending-limits-for-new-businesses.md,pending,,
troubleshooting-deliverability/troubleshoot-a-capture.md,pending,,
troubleshooting-deliverability/troubleshoot-missing-signals-or-activity.md,pending,,
troubleshooting-deliverability/troubleshoot-pages-that-do-not-load.md,pending,,
troubleshooting-deliverability/troubleshoot-push-notifications.md,pending,,
troubleshooting-deliverability/troubleshoot-whatsapp-templates.md,pending,,
troubleshooting-deliverability/troubleshooting-checklist.md,pending,,
troubleshooting-deliverability/troubleshooting-overview.md,pending,,
troubleshooting-deliverability/why-a-message-did-not-send.md,pending,,
